objid_1,ra,dec,l,b,gr,ug,ur,teff_adop,teff_adop_unc,logg_adop,logg_adop_unc,logg_annrr,logg_annrr_unc,logg_spec,logg_spec_unc,rv_adop,rv_adop_unc,abs_mag_gr,abs_mag_gr_unc,abs_mag_ur,abs_mag_ur_unc,dist_gr,dist_gr_unc,dist_ur,dist_ur_unc,probability
1237669702662291578,17.8780238847882,7.63371581131265,131.60428630609,-54.8995995673086,-0.140336470000001,1.1388549,0.998518430000001,8125.535,117.3533,3.40024,0.182947,3.1150203,0.0516,3.243507,0.12848675,-119.518875,3.5480318,0.448023056006188,0.0343933075581515,0.510069203441743,0.0262233195602551,32678.8427694665,637.901257905167,31758.3140709383,362.454294838358,100.0
1237669702662553746,18.5310780192418,7.68954223745146,132.702176484963,-54.7512111680184,-0.195126209999998,1.1860966,0.990970390000001,8550.383,163.10298,3.6111937,0.091035835,3.4428058,0.0441,3.5506577,0.1078521,-108.80095,4.485233999999999,0.519887664682934,0.0310793775571925,0.515566025616567,0.0312629000254008,34341.0371267676,538.349596612287,34409.4503133644,220.29694095546,100.0
1237669703194116202,6.26194862212816,8.29601960622723,111.778284669894,-54.0031707684879,-0.0377868800000023,1.2202641,1.18247722,7651.0796,59.813725,3.2519467,0.10608345,3.255414,0.0395,3.244985,0.14422743,-228.32707000000002,5.836443,0.355933714471171,0.0192881674907116,0.397798631797745,0.0220146000807536,47239.9160443245,649.184907685074,46337.8771296482,485.984991315699,100.0
1237652944239919395,338.438655971982,14.1809935344088,79.6883480346547,-36.8752731129152,-0.0986466000000021,1.1997579,1.1011113,7816.7324,95.29862,3.173624,0.1122514,3.026433,0.0517,3.0586953,0.1480751,-136.3978,3.2391384,0.405384366380904,0.0207616080447942,0.442829756555945,0.019369592066556,33506.0557462808,402.892575673292,32933.2225296708,240.2724632054,100.0
1237656907961663687,350.829386259765,0.381049938282897,81.7414274599743,-55.2810544931241,-0.098999899999999,1.2023333,1.1033334,8211.751,138.01057,3.5092232,0.0806873,3.6483479,0.0577,3.5748959,0.073452,-202.3927,9.099893,0.405711581971308,0.022725297627781,0.441511743014396,0.0203238883174199,33718.4687292444,451.529794498555,33167.1237670513,277.20970049532,93.56
1237652946381963367,8.75927549094241,-10.8596635972843,108.804375033565,-73.2799160897988,-0.0253520900000019,1.05266604,1.02731395,7660.006,77.01901,4.3264008,0.3191048,3.8222766,0.0601,4.3504686,0.5281918,-102.95478,11.883865,0.347278235673244,0.0222181164015306,0.489840878905616,0.0494707013726625,65814.6301158739,1045.36993473041,61632.5187095967,748.957895574845,50.56
1237652946385502268,17.0535656789671,-10.7856256163761,137.31356418854,-73.1871881457309,-0.22709386,1.2034239,0.976330040000001,8538.83,140.2087,3.5318787,0.113973014,3.5755062,0.1219,3.6321106,0.05660439,-48.106403,7.018365400000001,0.573567436356398,0.0655995202875012,0.526470089495556,0.029986547172744,35661.1966848239,1186.62976553531,36443.1058196773,508.485339985301,88.26
1237652946922111034,16.3553578664112,-10.3257055969987,134.688520696446,-72.8774547134031,0.0181176400000034,1.18871604,1.20683368,7627.8784,129.66852,3.5713897,0.33631492,3.0564828,0.1239,3.6607928,0.4542852,-50.56361,7.4331474,0.320069131183354,0.0204509523470643,0.385499676568523,0.0204883208044625,38627.4328093139,652.635143970481,37480.8763500843,525.820772286521,100.0
1237669761722089756,332.864330398309,5.65691182000633,67.1740283559333,-39.3125209911418,-0.195859499999997,1.1923202,0.996460700000007,8742.171,341.18338,3.343223,0.34022295,3.683446,0.1714,3.683446,0.1714,-135.92813,14.216543,0.521006159772676,0.0532758348277171,0.51155947834169,0.0546943810208368,56497.8144579067,1508.93413620803,56744.1355565699,599.071029783555,61.9
1237652947459571877,17.8240324858174,-9.8016253807523,138.996408585417,-72.0511953789048,-0.171560199999998,1.1754908,1.0039306,8455.705,100.9598,3.3678079,0.23590584,2.9521494,0.0711,3.3398495,0.38770017,-75.025764,5.8332233,0.486334275255667,0.0322292874740862,0.506178699045531,0.031025657976685,36494.3039594369,614.049807757584,36162.3129435462,286.804360238867,100.0
1237652947460096211,18.9686309659212,-9.87899506072814,142.560171515386,-71.8132642269701,-0.0240728699999977,1.058735,1.03466213,7659.294,167.72139,4.133713,0.27514842,3.6407752,0.1113,4.088724,0.4479487,-110.57908,10.240421000000001,0.346411630613462,0.0222416892570612,0.484859239307427,0.0541942469086486,69653.8351730133,1007.17501724396,65351.4927518902,667.249582061553,82.1
1237652947460096249,19.0663913140973,-9.83850565712717,142.813963095321,-71.7453000798458,-0.0123102000000017,1.0753865,1.06307629999999,8063.1133,185.25381,4.0769634,0.23027141,3.4557872,0.1223,4.0275416,0.3119866,-121.09828,6.0383973,0.338641216896287,0.0180626695052858,0.466244102064928,0.0293243868829852,45022.8659368636,544.299692021194,42453.4080077459,372.588708134528,97.83
1237652947460358232,19.6515739350248,-9.72382534743038,144.429462367138,-71.4525866081106,-0.163258769999999,1.1957608,1.03250203,8505.948,195.69063,3.1039045,0.24974686,3.1414642,0.067,3.4940538,0.35258973,-95.68693,4.0765266,0.475523283810948,0.0267043040506783,0.486316303370367,0.0225110580393961,32243.4083325396,479.578402649788,32083.5443099297,268.536912519804,100.0
1237652947460489309,19.8447527408178,-9.74049364514587,145.010250855222,-71.404475860499,-0.0440831599999996,1.1283411,1.08425794,7900.507,68.99144,3.9020002,0.78922117,4.0466905,0.0834,2.8283453,1.2183453,-104.12602,12.436651,0.360483007442457,0.0193958119790407,0.453002004205752,0.0495130879152273,63511.3696389107,755.036951686218,60862.2045279398,477.767133210175,77.09
1237652947990937700,5.08315374716568,-9.60061636593642,98.744663931473,-70.9970242722923,-0.165656350000003,1.1728337,1.00717735,8787.669,654.79095,2.9859319,0.3959321,3.381864,0.268,3.381864,0.268,-255.12755,9.788012,0.478595981901324,0.038737275828861,0.503864858299284,0.0478052077015431,53890.3151830929,1099.03891947266,53266.8418226662,526.673084847239,96.98
